customer_state,total_sales,total_freight
SP,7597209.660000009,718714.579999999
RJ,2769347.4400000027,305589.30999999907
MG,2326151.64,270853.45999999944
RS,1147276.9999999998,135522.74000000005
PR,1064603.9900000002,117851.68000000012
BA,797410.3600000001,100156.68000000005
SC,786343.7099999995,89660.2600000001
GO,513878.9999999998,53114.97999999999
DF,432623.73,50625.50000000001
ES,405805.33999999997,49764.60000000002
PE,376377.27,59449.66000000003
CE,343847.82999999996,48351.59000000002
PA,261788.34999999998,38699.30000000002
MT,256804.62,29715.430000000004
MA,198566.26999999993,31523.770000000004
PB,180984.18999999997,25719.730000000003
MS,164337.28000000003,19144.029999999995
PI,136779.96,21218.2
RN,116264.90000000002,18860.1
AL,111284.41999999998,15914.590000000002
SE,88437.51000000001,14111.47
TO,72281.17000000001,11732.68
RO,65886.0,11417.38
AM,34753.299999999996,5478.89
AC,24984.86,3686.7499999999995
AP,21642.7,2788.4999999999995
RR,12462.210000000001,2235.19
